Model,Repeat,Fold,Log loss,Brier,Macro AUC,Accuracy
A Demographics,5,1,1.0055015307757913,0.5987327036467187,0.6026771051468803,0.526108145693285
B Demographics + Correct,5,1,1.0029480849588972,0.5974990779091085,0.6110968187049205,0.524068793211251
C Demographics + DK,5,1,0.9941211983159566,0.5935813999346391,0.614713654242779,0.5224324565319008
D Demographics + Incorrect,5,1,0.9911672740206889,0.5906274112173018,0.6238803703412162,0.5383152501934827
E Full composition (Correct + DK),5,1,0.9867759469159465,0.5889741359173527,0.6297501191124958,0.5503686862924108
A Demographics,5,2,0.9540296345945768,0.5665837428893191,0.6495633336316566,0.5567947883572876
B Demographics + Correct,5,2,0.951634643612216,0.564897397060465,0.6548922154543014,0.557934175986416
C Demographics + DK,5,2,0.9578766696590985,0.5689578307299625,0.6513631371791365,0.5394075016712102
D Demographics + Incorrect,5,2,0.9469047677911091,0.5623294839908427,0.6615434591093582,0.5653004077743078
E Full composition (Correct + DK),5,2,0.9493346681826226,0.5640440513523912,0.6588970152130568,0.5568203430473462
A Demographics,5,3,0.9677718243062413,0.5743077906904913,0.6348750150480168,0.5466535559207872
B Demographics + Correct,5,3,0.9706298083424322,0.5748168147831729,0.6321549748129563,0.5523470067254429
C Demographics + DK,5,3,0.9677854036578917,0.5733443549857206,0.6349234405699172,0.5427473644272351
D Demographics + Incorrect,5,3,0.950011138973142,0.5630119934623173,0.650725344436588,0.5743039495957951
E Full composition (Correct + DK),5,3,0.9553310328534321,0.5654807049719,0.6474401528198657,0.5714855665380907
A Demographics,5,4,0.9619707015930639,0.5737331129256337,0.6547276889807169,0.5557222129969791
B Demographics + Correct,5,4,0.9596188085630126,0.5729596719058835,0.6637450573130855,0.5529451877485113
C Demographics + DK,5,4,0.9471398948364133,0.5633046832880564,0.6768256626461192,0.5481029283163528
D Demographics + Incorrect,5,4,0.94922955076459,0.5647233987110833,0.6802983539306776,0.5418370867546405
E Full composition (Correct + DK),5,4,0.9430472345984086,0.5606232219777076,0.6884759597514595,0.5456619791233447
A Demographics,5,5,1.0319743994369772,0.6245547408076645,0.5972956784950029,0.5039792740419864
B Demographics + Correct,5,5,1.0323665307779983,0.6246336228668391,0.5931235715474527,0.5089416825146464
C Demographics + DK,5,5,1.0178005840841613,0.6153436015080546,0.6126677125458424,0.513588678818556
D Demographics + Incorrect,5,5,1.009587407666389,0.6092514188474609,0.6153474159101789,0.5158773300218897
E Full composition (Correct + DK),5,5,1.0071759020253055,0.6077799077816912,0.6187897602797849,0.5159561830640774
A Demographics,6,1,0.9862032088058936,0.5896319627699036,0.6217381041191375,0.5258750720004347
B Demographics + Correct,6,1,0.9822768163401836,0.5874588696675995,0.6314419133888816,0.5302949423255727
C Demographics + DK,6,1,0.9749334699662526,0.5819197456984898,0.6388697647283165,0.5174720576156124
D Demographics + Incorrect,6,1,0.9667821706116668,0.5766843840624278,0.6557112604908848,0.5339221438157247
E Full composition (Correct + DK),6,1,0.9626772597929798,0.574048929536129,0.6597828518083638,0.5417144390119564
A Demographics,6,2,0.9688091054177412,0.5746606024327784,0.6189090047408571,0.559193212274735
B Demographics + Correct,6,2,0.9703652200176689,0.575073536374206,0.6221761099642075,0.560266780248361
C Demographics + DK,6,2,0.9688509526904423,0.5750005540605208,0.6214447333514038,0.5485156640105753
D Demographics + Incorrect,6,2,0.9497165120493992,0.561972169231595,0.6447734977625547,0.5701451190280509
E Full composition (Correct + DK),6,2,0.9552941697743559,0.5656796631199339,0.6393475802710781,0.5720132677391647
A Demographics,6,3,0.956905247988674,0.5647037563505126,0.6456747798452476,0.5733739993915651
B Demographics + Correct,6,3,0.9532027483509959,0.5625753085935236,0.6544323894661565,0.5695035266277492
C Demographics + DK,6,3,0.9500904650471265,0.5603642816188633,0.6489807694176412,0.5687197592221526
D Demographics + Incorrect,6,3,0.9413712174746536,0.5558753586048629,0.657489182768446,0.5766469694130899
E Full composition (Correct + DK),6,3,0.9390638487775054,0.5543587696689699,0.6650544731994991,0.5741610450882092
A Demographics,6,4,1.0058169469688085,0.6059099246480378,0.6042362170263935,0.5153563824415572
B Demographics + Correct,6,4,1.0045472005764229,0.6053989744330689,0.610883920006271,0.5131465378419675
C Demographics + DK,6,4,0.998646671120512,0.6018830179116222,0.6135879707717132,0.5136552817959645
D Demographics + Incorrect,6,4,1.0011329801804247,0.602870480171938,0.6163098981911719,0.5215791224936956
E Full composition (Correct + DK),6,4,0.997574777417953,0.6011446120184609,0.6222215311016982,0.5331915952083862
A Demographics,6,5,1.0059906812882673,0.6027414417586249,0.6084885222638198,0.5275540365243849
