Model,Repeat,Fold,Log loss,Brier,Macro AUC,Accuracy
C + Quiz DK,2,1,1.0303409970603234,0.618664544534833,0.5950751435460914,0.49737457732991414
C + Quiz DK,2,2,0.9663523542657408,0.5778838380141187,0.6521530050105236,0.535334606333427
C + Quiz DK,2,3,0.9501397423097254,0.5651561209417537,0.6468241672494478,0.5628862202965963
C + Quiz DK,2,4,0.9754526934886324,0.5820618736860941,0.6332712084612435,0.5478529902369611
C + Quiz DK,2,5,0.937601994269798,0.5567215795971816,0.6708498840347996,0.5895373340009538
C + Quiz DK,3,1,0.9734439961251841,0.579421626337514,0.6247873301718432,0.5513221307423917
C + Quiz DK,3,2,0.9709647637620745,0.5805612039886483,0.6484827383925996,0.5332098726258828
C + Quiz DK,3,3,0.9670581175754426,0.57454435792803,0.6419279249080156,0.5590559135106632
C + Quiz DK,3,4,0.961017646523578,0.5715361060429788,0.6457920770297046,0.5576783531249737
C + Quiz DK,3,5,0.9954287553173825,0.5953780596413963,0.6199701011162304,0.5237523935407978
C + Quiz DK,4,1,0.9833278616952853,0.587224580869051,0.6313749481507758,0.5454162635740283
C + Quiz DK,4,2,0.9427749446178872,0.5588692983826787,0.6548452847133492,0.5602284185256711
C + Quiz DK,4,3,0.9792833286728101,0.5858875029406796,0.6340462947076361,0.5482837351683146
C + Quiz DK,4,4,0.9521334237707082,0.564878066787049,0.6719651849820311,0.5564309218522315
C + Quiz DK,4,5,0.9921689976071152,0.5958628496994891,0.621520633632341,0.5404061877669873
C + Quiz DK,5,1,0.9867759469159465,0.5889741359173527,0.6297501191124958,0.5503686862924108
C + Quiz DK,5,2,0.9493346681826226,0.5640440513523912,0.6588970152130568,0.5568203430473462
C + Quiz DK,5,3,0.9553310328534321,0.5654807049719,0.6474401528198657,0.5714855665380907
C + Quiz DK,5,4,0.9430472345984086,0.5606232219777076,0.6884759597514595,0.5456619791233447
C + Quiz DK,5,5,1.0071759020253055,0.6077799077816912,0.6187897602797849,0.5159561830640774
C + Quiz DK,6,1,0.9626772597929798,0.574048929536129,0.6597828518083638,0.5417144390119564
C + Quiz DK,6,2,0.9552941697743559,0.5656796631199339,0.6393475802710781,0.5720132677391647
